"","source","Timestamp","Age","Gender","Country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","comments"
"11","1",NA,28,"Female","United States","Texas","No","No","Yes","Rarely","44372","No","Yes","Yes","No","No","No","Don't know","Somewhat easy","Yes","Yes","Some of them","No","No","No","No","Yes","NA"
"12","1",2015-02-21 05:34:27,31,"Male","Brazil",NA,"Yes","No","Yes","NA","44201","No","Yes","No","Yes","No","No","No","Don't know","No","No","1","Yes","No","Maybe","Don't know","No","NA"
"13","1",2015-02-21 05:55:13,24,"Male","United Kingdom","NA","No","No","No","NA","100-500","-","Yes","Don't know","Not sure","No","No","Don't know","Somewhat easy","Maybe","Maybe","Some of them","Yes","No","Maybe","Don't know","No","NA"
"14","1",2015-02-21 06:06:09,32,"Male","Ireland","NA","No","No","Yes","Sometimes","44372","No","-","No","No","No","No","Don't know","Somewhat easy","No","No","Some of them","Yes","No","Maybe","Don't know","No","NA"
"15","1",2015-02-21 06:19:41,34,"Male","United Kingdom","NA","No","Yes","No","Often","26-100","Yes","No","Don't know","Not sure","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","Yes","Maybe","Yes","Yes","No","NA"
"16","1",2015-02-21 08:21:36,23,"Male","United States","TX","No","No","Yes","Sometimes","44201","No","Yes","No","Yes","No","No","No","Very easy","Maybe","Maybe","Some of them","Yes","No","No","No","No","NA"
"17","1",2015-02-21 08:54:40,33,"Male","Czech Republic","NA","No","Yes","No","Often","100-500","No","Yes","No","Yes","No","No","Don't know","Somewhat easy","No","No","Some of them","Yes","Maybe","Maybe","Don't know","Yes","NA"
"18","1",2015-02-21 08:56:27,29,"Male","Singapore","NA","No","Yes","Yes","Sometimes","26-100","No","Yes","Not sure","Not sure","No","No","Don't know","Somewhat difficult","Maybe","No","No","No","No","Maybe","No","No","it is my opinion that bad mental health is a red flag for employers and i would never bring it up."
"19","1",2015-02-21 09:10:26,24,"Male","Ireland","NA","No","Yes","No","NA","44201","No","Yes","No","No","No","No","Don't know","Don't know","Maybe","Maybe","No","No","No","No","Don't know","No","NA"
"20","1",2015-02-21 09:16:45,45,"Male","Ireland","NA","NA","No","No","Never","More than 1000","Yes","NA","Don't know","Not sure","No","No","Don't know","Don't know","Yes","No","Yes","Some of them","No","No","No","Yes","NA"
"21","1",2015-02-21 09:18:20,34,"Female","United Kingdom","NA","No","No","Yes","Sometimes","More than 1000","No","No","No","Yes","No","Yes","Yes","Somewhat difficult","Maybe","Maybe","Some of them","Yes","No","Maybe","No","Yes","NA"
"22","1",2015-02-21 09:19:12,31,"Male","Philippines","NA","No","No","No","Sometimes","More than 1000","No","Yes","Don't know","No","No","No","not sure","Very difficult","Yes","Yes","Some of them","No","No","Maybe","No","Yes","NA"
"23","1",2015-02-21 09:22:23,33,"Male","United States","FL","No","No","Yes","Often","26-100","Yes","Yes","Yes","Yes","No","No","Yes","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No","NA"
"24","1",1905-07-07,28,"Male","Netherlands","NA","No","No","No","NA","44372","No","Yes","No","Not sure","No","No","Don't know","Somewhat easy","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No","NA"
"25","1",2015-02-21 09:30:14,27,"Male","United Kingdom","NA","No","No","No","Rarely","More than 1000","Yes","No","Don't know","Not sure","No","Yes","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No","NA"
"26","1",2015-02-21 09:30:29,42,"Male","Ireland","NA","No","No","No","Never","26-100","No","Yes","No","Yes","No","No","No","Somewhat difficult","Yes","Yes","Some of them","Some of them","No","No","No","No","NA"
"27","1",2015-02-21 09:33:29,28,"Male","Netherlands","NA","No","No","No","NA","44372","No","Yes","No","Not sure","No","No","Don't know","Somewhat easy","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No","NA"
"28","1",2015-02-21 09:48:13,38,"Male","United States","TX","No","No","Yes","Sometimes","More than 1000","Yes","Yes","Yes","No","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","No","No","Don't know","No","I openly discuss my mental health struggles. I have found that doing so encourages people who also struggle to seek treatment. I'm willing to risk losing the support of people who don't understand if it helps those who understand all too well."
"29","1",2015-02-21 10:00:50,46,"Male","United States","CA","No","Yes","Yes","Often","26-100","No","Yes","Don't know","No","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","No","No","No","NA"
"30","1",2015-02-21 10:45:51,46,"Male","United States","MD","No","Yes","Yes","Sometimes","100-500","-","Yes","Don't know","Not sure","Don't know",NA,"Don't know","Don't know","No","No","Some of them","Yes","Yes","Yes","Don't know","No","Just starting a new job hence the numerous I don't know selections."
"31","1",2015-02-21 11:48:52,41,"Female","Netherlands","NA","Yes","No","Yes","Rarely","44201","Yes","Yes","Don't know","Yes","Don't know","Yes","No","Somewhat easy","No","No","Yes","Yes","Yes","Yes","Yes","No","The data will be skewed for self-employed people as the questions contain some bias.Having said that: being self-employed I *choose* to work for companies which want to employ *me* not just my skills but including my opinions my life-experience etc. If a potential contract/job doesn't *feel* right I prefer to not take it (and be poor) than to compromise myself."
"32","1",2015-02-21 11:55:46,23,"Male","United Kingdom","NA","No","No","No","Never","26-100","No","Yes","Don't know","No","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","Some of them","No","Maybe","Yes","Yes","Although my employer does everything they can to accommodate employees with mental health problems when those individuals cannot carry out any work assigned to them (even over the course of months) they appear to have no alternative but to terminate their employment. However I believe this would be the same for a physical health problem."
"33","1",2015-02-21 13:19:11,24,"Male","Ireland","NA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","No","Yes","Don't know","Somewhat easy","Maybe","No","Some of them","No","No","Maybe","Yes","Yes","NA"
"34","1",2015-02-21 15:28:57,23,"Female","Ireland","NA","No","No","Yes","Rarely","26-100","No","Yes","No","Yes","Yes","No","Don't know","Don't know","No","No","Yes","Some of them","No","Maybe","Don't know","No","NA"
"35","1",2015-02-21 17:19:18,39,"Male","Netherlands","NA","No","No","No","NA","More than 1000","No","No","Yes","Not sure","Yes",NA,"Don't know","Somewhat easy","Maybe","Maybe","No","Some of them","No","No","Yes","No","NA"
"36","1",2015-02-21 18:54:12,32,"Female","Ireland","NA","No","Yes","No","Never","More than 1000","No","Yes","Yes","Yes","Don't know","Yes","Yes","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No","NA"
"37","1",2015-02-21 18:59:05,25,"Male","United States","MN","No","Yes","Yes","Sometimes","26-100","No","Yes","Don't know","Yes","No","No","Don't know","Somewhat easy","Yes","No","Some of them","Some of them","No","Maybe","Don't know","No","NA"
"38","1",2015-02-22 02:40:32,39,"Male","Greece","NA","No","No","No","NA","44372","Yes","Yes","No","No","No","No","Yes","Don't know","Yes","No","No","No","No","No","Don't know","No","NA"
"39","1",2015-02-24 08:54:35,23,"Female","United Kingdom","NA","No","Yes","Yes","Sometimes","44372","No","Yes","No","Yes","No","Yes","Yes","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No","NA"
"40","1",2015-02-24 08:58:08,24,"Other","United Kingdom","NA","Yes","No","Yes","Sometimes","44372","Yes","Yes","No","No","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","Maybe","Don't know","Yes","NA"
"41","1",2015-02-24 09:00:56,25,"Male","United Kingdom","NA","No","Yes","Yes","Sometimes","More than 1000","No","No","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","Yes","Yes","No","I work at a large university with a track record of health and wellbeing support"
"42","1",2015-02-24 09:13:49,23,"Male","United Kingdom","NA","No","No","Yes","Rarely","44372","No","Yes","No","Yes","No","No","Don't know","Don't know","No","No","Yes","Yes","No","Maybe","Don't know","No","NA"
"43","1",2015-02-24 09:15:13,24,"Other","United Kingdom","NA","No","No","Yes","Sometimes","44372","No","No","Don't know","No","No",NA,"Don't know","Don't know","Yes","Maybe","No","No","No","Maybe","Don't know","No","i'm in a country with social health care so my options are not dependant on my employer. this makes a few of the early questions less relevant than they would be for a resident of the US."
"44","1",2015-02-24 09:18:25,23,"Male","Canada","NA","No","No","Yes","Often","26-100","No","Yes","Yes","Yes","Yes",NA,"Don't know","Don't know","Maybe","No","Yes","Some of them","No","No","Don't know","No","NA"
"45","1",2015-02-24 10:32:32,60,"Male","United States","CA","No","No","Yes","Often","More than 1000","Yes","Yes","Don't know","No","Yes",NA,"Don't know","Somewhat easy","Maybe","Maybe","Some of them","No","No","Maybe","Don't know","No","NA"
"46","1",NA,28,"Male","Ireland","NA","No","No","No","Sometimes","26-100","No","Yes","No","Yes","No","No","Yes","Don't know","Yes","Maybe","No","No","No","No","No","Yes","NA"
"47","1",2015-04-04 11:22:05,30,"Male","Netherlands","NA","No","No","No","Sometimes","500-1000","No","Yes","Don't know","No","No","No","Don't know","Don't know","Maybe","No","Yes","Yes","Maybe","Yes","Don't know","No","NA"
"48","1",2015-04-06 14:58:29,31,"Male","Germany","NA","No","Yes","Yes","Sometimes","100-500","No","Yes","Don't know","No","No","No","Yes","Somewhat easy","No","No","Some of them","No","No","No","Don't know","No","NA"
"49","1",2015-04-11 14:35:22,31,"Male","Poland","NA","Yes","No","Yes","Often","44372","Yes","Yes","No","No","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","No","No","No","Don't know","No","NA"
"50","1",2015-04-23 14:03:51,28,"Male","Ireland","NA","No","No","Yes","Rarely","26-100","No","Yes","Don't know","No","No",NA,"Don't know","Don't know","Maybe","No","No","No","No","Maybe","Don't know","No","NA"
"51","1",2015-05-05 14:22:18,43,"Female","United States","FL","No","Yes","Yes","Rarely","More than 1000","Yes","Yes","Yes","Yes","No","Yes","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No","NA"
"52","1",2015-05-05 15:16:25,32,"Female","United Kingdom","NA","No","No","No","NA","More than 1000","No","No","No","No","No",NA,"Don't know","Don't know","Maybe","No","Some of them","Yes","No","Yes","No","No","NA"
"53","1",2015-05-06 10:14:50,22,"Male","Australia","NA","No","Yes","Yes","Often","100-500","No","No","Yes","Yes","Yes","Yes","Yes","Don't know","Maybe","Maybe","No","Yes","No","Maybe","Don't know","Yes","In australia all organisations of a certain size have to provide free access to a 'employee assistance program' to discuss work and personal issues.EAPs are an external provider totally confidential and anonymous (ring up andsay the name of who you work for - so they know to bill your work)  and they offer phone and face to face consults."
"54","1",2015-05-06 16:55:58,32,"Male","United States","OR","No","No","No","Never","100-500","No","Yes","Yes","Not sure","Don't know","Yes","Don't know","Somewhat easy","No","No","No","Some of them","Maybe","Yes","Don't know","No","NA"
"55","1",1905-07-07,36,"Male","Finland","NA","No","No","Yes","Often","44372","No","Yes","No","No","No","No","No","Very difficult","Yes","No","Some of them","No","No","Maybe","Don't know","Yes","NA"
"56","1",2015-06-25 12:24:31,41,"Female","United States","WA","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","No","No",NA,"Don't know","Don't know","Yes","Maybe","2","No","No","No","Don't know","No","NA"
"57","1",2015-07-22 18:57:54,30,"Male","United States","CA","No","Yes","-","Sometimes","26-100","No","Yes","Yes","Yes","Don't know","No","Yes","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No","Bipolar disorder"
"58","1",2015-07-27 23:25:34,30,"Male","United States","CA","Yes","Yes","Yes","Often","26-100","No","Yes","Yes","Not sure","Yes","Yes","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Yes","No","NA"
"59","1",2015-08-17 09:38:35,36,"Male","South Africa","NA","No","Yes","Yes","Often","100-500","No","No","No","Yes","No","No","Don't know","Somewhat easy","No","No","Some of them","Yes","No","Yes","Yes","No","NA"
"60","1",2015-08-20 16:52:09,29,"Male","United States","NC","No","Yes","Yes","Sometimes","100-500","Yes","Yes","Yes","Yes","Yes","No","Yes","Don't know","Yes","No","3","No","No","Maybe","No","No","NA"
"61","1",2015-08-25 19:59:38,36,"Male","US","UT","No","Yes","No","Rarely","More than 1000","No","No","Don't know","No","Yes","Yes","Don't know","Somewhat easy","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No","NA"
"62","1",2015-09-26 01:07:35,32,"Male","United States","IL","No","Yes","Yes","Often","26-100","Yes","Yes","Yes","Yes","No","No","Yes","Somewhat difficult","No","No","Some of them","Yes","No","No","Yes","No","NA"
"63","1",2015-11-07 12:36:58,34,"Male","United States","CA","No","Yes","NA","Sometimes","More than 1000","No","Yes","Yes","Yes","No","No","Don't know","Somewhat difficult","Yes","Yes","2","No","No","No","No","No","NA"
"64","1",2015-11-30 21:25:06,46,"Female","United States","NC","No","No","No","NA","100-500","Yes","Yes","No","Yes","No","No","Don't know","Don't know","Yes","No","No","No","No","No","No","No","NA"
"65","1",2016-02-01 23:04:31,25,"Male","United States","IL","No","Yes","Yes","Sometimes","26-100","No","No","Yes","Yes","No","No","Yes","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No","NA"
"66","2",9908472-09-21 00:00:00.0625,18,"Male","Netherlands","NA","No","No","No","Often","44372","No","Yes","No","Not sure","No","No","Don't know","Somewhat difficult","Yes","Maybe","No","Some of them","No","No","No","No","NA"
"67","2",9908477-12-25,18,"Other","Russia","NA","No","No","No","NA","26-100","Yes","Yes","Yes","Yes","No","No","Yes","Somewhat easy","No","2","Yes","Yes","Yes","Yes","Don't know","No","In Russia we have mandatory medical insurance. Every employer must pay 3.6% of every employee's salary to the insurance fund like a tax. Everyone gets free healthcare at public clinics and hospitals. Some types of healthcare including mental health are still funded from the government budget but that doesn't matter it's still FREE!However this is Russia :D I don't know much about what actually happens in mental hospitals here except that a lot of young people with male in their passports use these to avoid military draft and doctors seem to help them."
"68","2",9908480-09-12,18,"Male","United States","CT","No","No","Yes","Rarely","44201","Yes","Yes","No","No","No","No","Yes","Very easy","No","2","Some of them","No","No","No","Don't know","No","NA"
"69","2",9908496-11-19,18,"Male","United States","TX","No","No","Yes","Sometimes","44372","No","Yes","Don't know","No","No",NA,"Don't know","Don't know","Yes","2","No","No","No","Maybe","Don't know","No","NA"
"70","2",9908497-02-27,18,"Male","United States","WA","No","No","No","Never","26-100","No","Yes","Don't know","Not sure","Don't know",NA,"Don't know","Very easy","No","2","Some of them","Some of them","No","Maybe","Yes","No","NA"
"71","2",9908517-09-06 23:59:59.9375,18,"Male","Finland","NA","No","No","No","NA","500-1000","Yes","No","Don't know","No","No",NA,"Don't know","Very easy","Yes","2","No","No","No","Maybe","Don't know","No","NA"
"72","2",9908518-01-19 00:00:00.0625,18,"Female","United Kingdom","NA","No","Yes","Yes","Sometimes","44201","Yes","Yes","Don't know","Not sure","Don't know",NA,"Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","No","I don't have a job :D"
"73","2",9908475-01-29,19,"Male","United Kingdom","NA","No","No","No","NA","44201","No","Yes","No","Yes","No","No","No","Somewhat difficult","Yes","No","No","No","No","Maybe","No","No","NA"
"74","2",9908481-03-18 23:59:59.9375,19,"Male","Slovenia","NA","No","No","Yes","Sometimes","44372","No","Yes","Don't know","No","No","No","Don't know","Somewhat easy","Yes","Yes","Some of them","No","No","No","Don't know","No","NA"
"75","2",9908482-02-27,19,"Male","Canada","NA","Yes","Yes","No","NA","44201","Yes","Yes","Don't know","Not sure","No","Yes","Yes","Somewhat easy","Maybe","No","Some of them","Some of them","Maybe","Maybe","Don't know","No","NA"
"76","2",9908575-04-19 00:00:00.0625,19,"Male","Canada","NA","No","Yes","Yes","Sometimes","44201","No","Yes","No","No","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","No","No","Maybe","Don't know","No","NA"
"77","2",9908682-11-05 23:59:59.9375,19,"Other","United States","MO","No","Yes","Yes","Often","26-100","No","No","Don't know","Not sure","No","No","Don't know","Somewhat difficult","Maybe","Maybe","No","No","No","Maybe","No","No","NA"
"78","2",9908704-10-07 23:59:59.9375,19,"Male","Canada","NA","No","No","Yes","Sometimes","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Somewhat difficult","No","No","Some of them","Yes","No","Yes","Don't know","No","NA"
"79","2",9908921-04-14,19,"Male","United Kingdom","NA","No","No","No","NA","44372","No","Yes","Yes","No","No","Yes","Don't know","Very easy","No","No","Yes","Yes","No","No","Yes","No","NA"
"80","2",9908929-11-12 00:00:00.0625,19,"Male","Canada","NA","No","No","No","Never","26-100","Yes","Yes","Don't know","No","No","No","Don't know","Somewhat easy","No","No","Some of them","Some of them","No","Maybe","No","No","NA"
"81","2",9908933-11-03,19,"Male","United States","IN","No","No","No","Sometimes","44201","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No","NA"
"82","2",9908511-08-21 23:59:59.9375,20,"Male","Australia","NA","No","No","No","NA","100-500","Yes","Yes","Don't know","Not sure","Don't know",NA,"Yes","Very easy","No","No","Some of them","Yes","No","No","Don't know","No","NA"
"83","2",9908643-12-17,20,"Female","Switzerland","NA","No","No","No","Rarely","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Some of them","No","Maybe","Yes","No","NA"
"84","2",9908746-11-18,20,"Male","United States","WA","No","No","No","Never","26-100","No","Yes","Don't know","Not sure","Don't know",NA,"Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Yes","No","NA"
"85","2",9908921-08-21,20,"Male","India","NA","No","No","Yes","Sometimes","26-100","No","Yes","Don't know","No","No","No","Don't know","Don't know","Yes","No","No","No","No","Maybe","Yes","No","NA"
"86","2",9909271-08-29,20,"Female","United States","NY","No","No","Yes","Sometimes","26-100","Yes","Yes","Don't know","Not sure","Don't know",NA,"Don't know","Don't know","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No","NA"
"87","2",9912704-08-05,20,"Male","Georgia","NA","No","No","No","Rarely","26-100","No","No","No","No","No","No","Don't know","Very difficult","Yes","Yes","Some of them","No","No","Maybe","No","No","NA"
"88","2",9908480-09-10,21,"Male","United Kingdom","NA","Yes","No","No","Often","44201","Yes","No","No","Yes","No","No","Yes","Very difficult","Yes","No","Some of them","Yes","No","Maybe","No","No","NA"
"89","2",9908485-11-07 00:00:00.0625,21,"Male","Canada","NA","No","No","Yes","Sometimes","44372","Yes","Yes","No","Yes","No","No","Don't know","Somewhat difficult","No","No","Some of them","Some of them","Maybe","Maybe","Yes","No","NA"
"90","2",9908491-03-16 00:00:00.0625,21,"Male","United States","KY","No","No","Yes","Often","44372","No","No","Don't know","No","No",NA,"Don't know","Don't know","Maybe","No","No","No","No","Maybe","Don't know","No","NA"
"91","2",9908507-07-01,21,"Male","United States","IN","No","Yes","Yes","Rarely","100-500","No","Yes","Yes","No","No",NA,"Yes","Don't know","No","No","Yes","Yes","Maybe","Maybe","Don't know","No","NA"
"92","2",9908507-08-09 00:00:00.0625,21,"Male","United Kingdom","NA","No","No","Yes","Sometimes","44372","No","No","Don't know","Not sure","No","No","No","Very easy","Yes","No","Some of them","No","No","Maybe","No","No","NA"
"93","2",9908508-09-28 23:59:59.9375,21,"Female","United States","CA","No","Yes","Yes","Rarely","26-100","No","Yes","Don't know","Not sure","Don't know","No","Don't know","Somewhat easy","Yes","No","Some of them","No","No","Yes","Don't know","No","NA"
"94","2",9908509-11-19 23:59:59.9375,21,"Male","United States","MA","No","Yes","No","Never","More than 1000","No","Yes","Don't know","Not sure","Don't know",NA,"Don't know","Don't know","No","No","Some of them","Some of them","No","Maybe","Don't know","Yes","NA"
"95","2",9908510-09-25 00:00:00.0625,21,"Male","United States","CA","No","No","No","Sometimes","44372","No","No","Don't know","Not sure","No","Yes","Yes","Don't know","No","No","Some of them","Some of them","Maybe","Maybe","Yes","No","NA"
"96","2",9908532-08-13,21,"Male","Canada","NA","No","No","No","Never","26-100","No","Yes","Don't know","Not sure","Don't know","No","Don't know","Don't know","Yes","Maybe","No","No","No","Maybe","Don't know","No","NA"
"97","2",9908538-04-04,21,"Male","United States","CA","No","Yes","No","NA","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","No","No","Some of them","Yes","No","Maybe","Yes","No","NA"
"98","2",9908543-12-14 23:59:59.9375,21,"Other","United Kingdom","NA","No","No","Yes","Sometimes","26-100","No","Yes","No","Yes","Yes","No","Yes","Somewhat easy","Maybe","No","Some of them","Some of them","No","No","Yes","No","NA"
"99","2",9908685-02-28,21,"Female","United Kingdom","NA","No","No","No","NA","44372","No","Yes","No","No","No","No","Don't know","Don't know","Yes","Maybe","Some of them","No","No","No","Don't know","No","NA"
"100","2",9908695-09-20,21,"Male","Germany","NA","No","No","No","Rarely","44372","Yes","Yes","Don't know","No","No","No","Don't know","Very easy","Maybe","Maybe","Some of them","Some of them","No","Maybe","No","No","NA"
"101","2",9908707-11-16,21,"Male","United States","IL","No","No","Yes","Often","More than 1000","No","No","No","Yes","No","No","No","Don't know","Yes","No","Some of them","Some of them","No","Yes","No","Yes","I have Narcolepsy and have been fired from a job before for falling asleep standing up during a meeting. I was standing up in the back of the room so that i could pace and try to prevent myself from falling asleep. I still managed to fall asleep while standing and fell over against the wall. I was fired the next day. The worst part is this is a condition i had given months of notice about to my boss and i reminded her of it before the meeting. I worked at a hospital at the time. I would have thought that they would be more accommodating."
"102","2",9908761-02-02,21,"Male","United Kingdom","NA","No","Yes","No","Never","44372","No","No","No","No","No","No","Yes","Somewhat easy","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No","NA"
"103","2",9909622-08-29,21,"Male","United Kingdom","NA","No","No","Yes","Sometimes","More than 1000","No","No","Don't know","No","No",NA,"Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No","NA"
"104","2",9908473-01-04 00:00:00.0625,22,"Male","United States","TX","No","Yes","Yes","Often","44372","No","Yes","No","Yes","No","No","Yes","Very difficult","Maybe","No","No","No","No","Maybe","Don't know","No","NA"
"105","2",9908481-09-14,22,"Male","Austria","NA","No","No","No","NA","44372","Yes","Yes","Don't know","No","Don't know","No","Don't know","Somewhat easy","No","No","Some of them","Some of them","No","No","Don't know","No","NA"
"106","2",9908483-08-06,22,"Male","India","NA","No","No","Yes","Never","More than 1000","No","Yes","Don't know","Not sure","No","No","Don't know","Very difficult","Yes","Maybe","No","No","Maybe","Maybe","No","No","NA"
"107","2",9908490-07-14,22,"Male","Sweden","NA","No","No","No","NA","44372","No","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","No","No","NA"
"108","2",9908495-11-09,22,"Male","Australia","NA","Yes","Yes","Yes","Sometimes","44372","Yes","Yes","Don't know","Not sure","Yes","Yes","Don't know","Somewhat easy","Maybe","No","Some of them","Yes","No","Yes","No","Yes","NA"
"109","2",9908499-10-11,22,"Female","United States","NY","No","Yes","Yes","Often","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","No","No","Some of them","No","No","Yes","Yes","NA"
"110","2",9908502-12-14,22,"Male","United States","CA","No","No","No","Sometimes","More than 1000","No","Yes","Don't know","No","Don't know",NA,"Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No","NA"
"111","2",9908507-08-22,22,"Female","United States","WA","No","No","No","NA","More than 1000","No","Yes","Yes","No","Yes","Yes","Yes","Somewhat easy","No","No","No","Some of them","No","No","Yes","No","NA"
"112","2",9908509-10-02,22,"Male","Brazil","NA","Yes","No","No","Never","44372","Yes","Yes","Don't know","No","No","No","Don't know","Somewhat easy","No","No","Yes","Yes","Maybe","No","Don't know","No","NA"
"113","2",9908521-10-25,22,"Male","United States","CA","No","No","No","NA","More than 1000","No","Yes","Yes","Not sure","Yes",NA,"Yes","Don't know","No","No","Some of them","Yes","No","Maybe","Yes","No","NA"
"114","2",9908534-02-09,22,"Female","United States","CA","No","Yes","Yes","Sometimes","500-1000","No","Yes","Yes","Yes","No",NA,"Don't know","Don't know","No","No","Some of them","Some of them","No","No","No","Yes","NA"
"115","2",9908546-09-11,22,"Male","Netherlands","NA","No","Yes","Yes","Sometimes","44372","Yes","Yes","No","Not sure","No",NA,"Don't know","Somewhat easy","No","No","Some of them","Yes","Maybe","Yes","Yes","No","NA"
"116","2",9908604-05-28,22,"Male","United Kingdom","NA","No","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","Yes","Very easy","No","No","Some of them","Yes","Maybe","Yes","Yes","No","NA"
"117","2",9908606-11-03,22,"Male","Netherlands","NA","Yes","No","No","Never","44201","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","No","Maybe","Some of them","Yes","Maybe","Yes","No","Yes","NA"
"118","2",9908633-08-26,22,"Female","Netherlands","NA","No","No","No","Often","44372","No","Yes","No","No","No","No","Don't know","Don't know","No","No","No","Some of them","No","Yes","Don't know","No","NA"
